coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt
1743.6709191224072,1669.9648495605404,1300.0,1300
1756.7098688411725,1682.5975322054453,1310.0,1310
1769.7488185599373,1695.23021485035,1320.0,1320
1782.7877682787023,1707.8628974952549,1330.0,1330
1795.8267179974673,1720.4955801401597,1340.0,1340
1808.865667716232,1733.1282627850644,1350.0,1350
1821.9046174349971,1745.7609454299693,1360.0,1360
1834.943567153762,1758.393628074874,1370.0,1370
1851.5245694939665,1771.0263107197788,1380.0,1380
1875.2907385382093,1783.6589933646835,1390.0,1390
1899.0288706065899,1796.2916760095882,1400.0,1400
1922.9160683301807,1808.924358654493,1410.0,1410
1946.588020300721,1821.5570412993977,1420.0,1420
1970.4039848534135,1834.1897239443024,1430.0,1430
1994.3639619882579,1846.8224065892073,1440.0,1440
2018.0960606874073,1859.455089234112,1450.0,1450
2042.0376610144885,1872.1530850272102,1460.0517017248271,1460
2065.530381645783,1884.656134043804,1469.9490840687401,1470
2090.6869389586905,1898.0411187932557,1480.5446045339443,1480
2118.752298431183,1912.8953830172293,1492.303202957981,1490
2146.811976385262,1927.7522763312927,1504.0638825631604,1500
2174.5165497287244,1942.4758824053558,1515.7190523223735,1510
2202.5707974169663,1957.3572699379101,1527.4991214896747,1520
2230.5746804152595,1972.2130153768173,1539.25889243975,1530
2258.5484350828674,1987.0654337832582,1551.0160297192426,1540
2286.494227561474,2001.9204242876217,1562.7752030650206,1550
2314.400961949381,2016.7721128890712,1574.5317626327064,1560
2342.4739934527543,2031.6263632848893,1586.2903501104101,1570
2370.18061513253,2046.3756814625933,1597.9658735065852,1580
2398.1638076052477,2061.2292050385245,1609.7238856354834,1590
2426.0931010547224,2076.0795032224773,1621.479344552155,1600
2454.1764391231445,2090.929459114851,1633.234532511668,1610
2482.2065993206324,2105.7819469755505,1644.9917247709782,1620
2510.172434377726,2120.6312353122185,1656.7463842950638,1630
2538.076200757082,2135.4830563766427,1668.5030487201093,1640
2566.1519508126703,2150.3572038686134,1680.2773866893847,1650
2594.1293944015583,2165.208177919653,1692.0333806207523,1660
2622.0279638917987,2180.056271902375,1703.7870946972403,1670
2650.068808222809,2194.906621453448,1715.542594275996,1680
2678.024856627968,2209.7541331725783,1727.29584743408,1690
2705.8947030248405,2224.60136415389,1739.0488783608089,1700
2733.9008925010203,2239.450837968924,1750.8036847091053,1710
2761.811907880378,2254.2975251018515,1762.5562851268128,1720
2789.8562893467415,2269.1464366381642,1774.3106463766792,1730
2817.7995829008396,2283.992606208235,1786.0628370929232,1740
2846.050220505887,2298.9849344368863,1797.9307266379033,1750
2873.4524617577845,2313.5600812072585,1809.4683763834628,1760
2901.5448579792837,2328.4082048379746,1821.2221139292287,1770
2929.5237846481123,2343.253213156671,1832.9733854017877,1780
2957.3882766288525,2358.0979373415316,1844.724431954713,1790
2985.374910240055,2372.9453693325027,1856.4776220001859,1800
3013.4762705115695,2387.7895685525336,1868.2282529922643,1810
3041.6416669340742,2402.7813121712475,1880.095679761479,1820
3069.489389958906,2417.6201797733447,1891.8420902581302,1830
3097.4347998272274,2432.4471211761575,1903.5790600052433,1840
3125.5109351365554,2447.2882794860006,1915.3272838204193,1850
3153.4383521393697,2462.117417172984,1927.0659921405913,1860
3181.493561475542,2476.9607018987917,1938.815899221329,1870
3209.393925946909,2491.791873142058,1950.5562172995703,1880
3237.419153081688,2506.6371288305086,1962.3076845894084,1890
3265.2028530913294,2521.4075902376962,1973.9999449131847,1900
3293.203648136071,2536.266154333058,1985.7619471046628,1910
3321.052989470025,2551.124447023111,1997.523734452377,1920
3349.0030184569155,2565.9824709077784,2009.2853090144201,1930
3376.9559239786167,2580.7650327336455,2020.987147999372,1940
3404.8876882823142,2595.6533351857383,2032.7726909996925,1950
3432.876950746339,2610.510456757388,2044.5335512930064,1960
